meeting_year,meeting_type,meeting_number,meeting_name,paper_type,paper_number,has_revisions,one_revision_name,agendas,parties,one_revision_url
1964,ATCM,3,ATCM III,wp,42,True,Address by the Head of the Argentinian Delegation,ATCM 1,Argentina,https://documents.ats.aq/ATCM3/wp/ATCM3_wp042_e.pdf
1964,ATCM,3,ATCM III,wp,43,False,"Opening statement of his excellency Mr V.R. Crocker, C.B.E., the leader of the Australian delegation",ATCM 1,Australia,https://documents.ats.aq/ATCM3/wp/ATCM3_wp043_e.pdf
1964,ATCM,3,ATCM III,wp,44,False,Address by the Head of the Chilean delegation at the Third Consultative Meeting of the Antarctic Treaty,ATCM 1,Chile,https://documents.ats.aq/ATCM3/wp/ATCM3_wp044_e.pdf
1964,ATCM,3,ATCM III,wp,45,False,"Address by the honourable Douglas Macarthur II, Head of the United States delegation",ATCM 1,United States,https://documents.ats.aq/ATCM3/wp/ATCM3_wp045_e.pdf
1964,ATCM,3,ATCM III,wp,46,False,"Address of H.E. Mr. Henry Spitzmuller, Ambassador of France to Belgium, Head of the French Delegation",ATCM 1,France,https://documents.ats.aq/ATCM3/wp/ATCM3_wp046_e.pdf
1964,ATCM,3,ATCM III,wp,47,False,Address given by H.E. Mr. Ambassador of Norway Head of the Norwegian Delegation,ATCM 1,Norway,https://documents.ats.aq/ATCM3/wp/ATCM3_wp047_e.pdf
1964,ATCM,3,ATCM III,wp,48,False,Address by Mr. N.J.C. Templeton Chairman of the New Zealand Delegation,ATCM 1,New Zealand,https://documents.ats.aq/ATCM3/wp/ATCM3_wp048_e.pdf
1964,ATCM,3,ATCM III,wp,49,False,"Opening Speech by the Leader of the United Kingdom Delegation, His Excellency Sir Roderick Barclay, K.C.M.G., K.C.V.O.",ATCM 1,United Kingdom,https://documents.ats.aq/ATCM3/wp/ATCM3_wp049_e.pdf
1964,ATCM,3,ATCM III,wp,50,False,Inaugural Declaration by the Head of the Delegation of the U.S.S.R.,ATCM 1,Russian Federation,https://documents.ats.aq/ATCM3/wp/ATCM3_wp050_e.pdf
1964,ATCM,3,ATCM III,wp,51,False,"Address given by Mr. van der Essen, Vice-Chairman of the Belgian Delegation",ATCM 1,Belgium,https://documents.ats.aq/ATCM3/wp/ATCM3_wp051_e.pdf
1964,ATCM,3,ATCM III,wp,52,False,Press Release,ATCM 12,Belgium,https://documents.ats.aq/ATCM3/wp/ATCM3_wp052_e.pdf
1964,ATCM,3,ATCM III,wp,53,False,Opening statement from the Head of the Japanese delegation,ATCM 12,Japan,https://documents.ats.aq/ATCM3/wp/ATCM3_wp053_e.pdf
1964,ATCM,3,ATCM III,wp,54,False,Erratum,ATCM 12,Belgium,https://documents.ats.aq/ATCM3/wp/ATCM3_wp054_s.pdf
1964,ATCM,3,ATCM III,wp,55,False,Relationships with other organisations,ATCM 9,United Kingdom,https://documents.ats.aq/ATCM3/wp/ATCM3_wp055_s.pdf
1964,ATCM,3,ATCM III,wp,56,False,Drift ice: amendment to agreed measures,ATCM 12,Australia,https://documents.ats.aq/ATCM3/wp/ATCM3_wp056_s.pdf
1964,ATCM,3,ATCM III,wp,57,False,Provisional list of participants,ATCM 12,Belgium,https://documents.ats.aq/ATCM3/wp/ATCM3_wp057_f.pdf
1964,ATCM,3,ATCM III,wp,58,False,Definitive list of participants,ATCM 12,Belgium,https://documents.ats.aq/ATCM3/wp/ATCM3_wp058_f.pdf
1966,ATCM,4,ATCM IV,wp,1,False,Status of Meetings of Experts,ATCM 3,United Kingdom | United States,https://documents.ats.aq/ATCM4/wp/ATCM4_wp001_e.pdf
1966,ATCM,4,ATCM IV,wp,2,False,Status of the meeting of experts,ATCM 3,United Kingdom,https://documents.ats.aq/ATCM4/wp/ATCM4_wp002_e.pdf
1966,ATCM,4,ATCM IV,wp,3,False,Proposal relating to Article XII of the Agreed Measures for the Conservation of Antarctic Flora and Fauna,ATCM 7,New Zealand,https://documents.ats.aq/ATCM4/wp/ATCM4_wp003_e.pdf
1966,ATCM,4,ATCM IV,wp,4,False,Status of Meetings of Experts on Telecommunications,ATCM 3,United States,https://documents.ats.aq/ATCM4/wp/ATCM4_wp004_e.pdf
1966,ATCM,4,ATCM IV,wp,5,False,Pelagic hunting of seals (Recommendation III-XI),ATCM 10,United Kingdom,https://documents.ats.aq/ATCM4/wp/ATCM4_wp005_e.pdf
1966,ATCM,4,ATCM IV,wp,6,True,Draft Recommendation by New Zealand,ATCM 9,New Zealand,https://documents.ats.aq/ATCM4/wp/ATCM4_wp006_e.pdf
1966,ATCM,4,ATCM IV,wp,7,False,Meeting on Logistics,ATCM 4,New Zealand,https://documents.ats.aq/ATCM4/wp/ATCM4_wp007_e.pdf
1966,ATCM,4,ATCM IV,wp,8,False,Symposium on Logistics and Polar Technique,ATCM 4,Argentina,https://documents.ats.aq/ATCM4/wp/ATCM4_wp008_e.pdf
1966,ATCM,4,ATCM IV,wp,9,False,Themes proposed for the Logistics Meeting,ATCM 4,Chile,https://documents.ats.aq/ATCM4/wp/ATCM4_wp009_e.pdf
1966,ATCM,4,ATCM IV,wp,10,False,Proposed Agenda for Meeting on Logistics,ATCM 4,Japan,https://documents.ats.aq/ATCM4/wp/ATCM4_wp010_e.pdf
1966,ATCM,4,ATCM IV,wp,11,True,"Address Delivered by Mr. Julio Escudero Guzman, Chairman of the Fourth Antarctic Treaty Consultative Meeting",ATCM 1,Chile,https://documents.ats.aq/ATCM4/wp/ATCM4_wp011_e.pdf
1966,ATCM,4,ATCM IV,wp,12,False,Opening address by the Representative of the United Kingdom,ATCM 1,United Kingdom,https://documents.ats.aq/ATCM4/wp/ATCM4_wp012_e.pdf
1966,ATCM,4,ATCM IV,wp,13,False,Opening Address delivered by the representative of Belgium at the Fourth Antarctic Treaty Consultative Meeting,ATCM 1,Belgium,https://documents.ats.aq/ATCM4/wp/ATCM4_wp013_e.pdf
1966,ATCM,4,ATCM IV,wp,14,False,Address given by the representative of Australia at the Opening Session of the Fourth Antarctic Treaty Consultative Meeting,ATCM 1,Australia,https://documents.ats.aq/ATCM4/wp/ATCM4_wp014_e.pdf
1966,ATCM,4,ATCM IV,wp,15,False,"Opening Address delivered by Mr. Gabriel Valdes, Minister for Foreign Affairs of Chile, at the Fourth Antarctic Treaty Consultative Meeting",ATCM 1,Chile,https://documents.ats.aq/ATCM4/wp/ATCM4_wp015_e.pdf
1966,ATCM,4,ATCM IV,wp,16,False,"Opening Address delivered by the representative of Argentina, at the Fourth Antarctic Treaty Consultative Meeting",ATCM 1,Argentina,https://documents.ats.aq/ATCM4/wp/ATCM4_wp016_e.pdf
1966,ATCM,4,ATCM IV,wp,17,False,Opening Address delivered by the Head of the Delegation of the Union of Soviet Socialist Republics,ATCM 1,Russian Federation,https://documents.ats.aq/ATCM4/wp/ATCM4_wp017_e.pdf
1966,ATCM,4,ATCM IV,wp,18,True,Telecommunications,ATCM 5,Chile,https://documents.ats.aq/ATCM4/wp/ATCM4_wp018_e.pdf
1966,ATCM,4,ATCM IV,wp,19,False,"Address by H.E. the Ambassador Augustin M. Kanayama, Leader of Japanese Delegation to the Fourth Consultative Meeting of the Antarctic Treaty",ATCM 1,Japan,https://documents.ats.aq/ATCM4/wp/ATCM4_wp019_e.pdf
1966,ATCM,4,ATCM IV,wp,20,True,United States of America Status of Meetings of Experts Recommendation,ATCM 3,United States,https://documents.ats.aq/ATCM4/wp/ATCM4_wp020_e.pdf
1966,ATCM,4,ATCM IV,wp,21,False,"Opening Statement delivered by Ambassador R.H. Coaton, Head of the South African delegation",ATCM 1,South Africa,https://documents.ats.aq/ATCM4/wp/ATCM4_wp021_e.pdf
1966,ATCM,4,ATCM IV,wp,22,False,Address given by the representative of the French Republic at the Opening Session of the Fourth Antarctic Treaty Consultative Meeting,ATCM 1,France,https://documents.ats.aq/ATCM4/wp/ATCM4_wp022_e.pdf
1966,ATCM,4,ATCM IV,wp,23,False,Status of Meetings of Experts,ATCM 3,Australia | United States,https://documents.ats.aq/ATCM4/wp/ATCM4_wp023_e.pdf
1966,ATCM,4,ATCM IV,wp,24,False,Exchange of Information on Operations,ATCM 2,Australia,https://documents.ats.aq/ATCM4/wp/ATCM4_wp024_e.pdf
1966,ATCM,4,ATCM IV,wp,25,False,Meeting on Logistics,ATCM 4,Japan,https://documents.ats.aq/ATCM4/wp/ATCM4_wp025_e.pdf
